package_name,package_depth,package_dependency_1,package_dependency_2
aniso8601,3,,
attrs,3,,
blinker,3,,
brotli,3,geventhttpclient,
build,3,,
cachecontrol,3,,
cachetools,3,,
cffi,3,gevent,cryptography
configargparse,3,locust,
cryptography,3,,
dnspython,3,eventlet,
eventlet,3,,
flask_basicauth,3,locust,
flask_sockets,3,,
gevent,3,locust,geventhttpclient
gevent_websocket,3,,
geventhttpclient,3,locust,
grpcio,3,grpcio_status,
grpcio_status,3,,
gunicorn,3,,
httplib2,3,,
importlib_resources,3,,
iniconfig,3,pytest,
jsonschema,3,,
jsonschema_specifications,3,,
locust,3,,
marshmallow,3,,
oauthlib,3,,
pluggy,3,pytest,
proto_plus,3,,
pyasn1,3,pyasn1_modules,rsa
pyasn1_modules,3,,
pyjwt,3,flask_jwt_extended,
pyopenssl,3,,
pyproject_hooks,3,,
python_dotenv,3,,
pytz,3,,
pyyaml,3,,
referencing,3,,
requests_oauthlib,3,,
rpds_py,3,,
rsa,3,,
uritemplate,3,,
waitress,3,,
wheel,3,,
msgpack,2,cachecontrol,locust
pycparser,2,cffi,
zope.event,2,gevent,
zope.interface,2,gevent,
six,2,flask_cors,geventhttpclient
protobuf,2,grpcio_status,proto_plus
packaging,2,pytest,gunicorn
pyparsing,2,httplib2,
pywin32,2,locust,
psutil,2,locust,
pyzmq,2,locust,
roundrobin,2,locust,
certifi,1,requests,geventhttpclient
idna,1,requests,
charset_normalizer,1,requests,
urllib3,1,requests,
setuptools,1,zope.interface,zope.event
