document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
f7bf427e41af53409d7907160f7908e723b78eb0,train,How many plaintiffs does Erin convince to go along with her?,634,634,How many plaintiffs does Erin convince to go along with her ?,634,634
8f0f61996b30a8a3963719b2067473d77b1cb08f,train,Who is Young Werther's friend that he writes to in the story?,His friend is Wilhelm.,Wilhelm,Who is Young Werther s friend that he writes to in the story ?,His friend is Wilhelm .,Wilhelm
3ea978569f0309158455ca4864a72ed32c5df050,test,When was John F. Kennedy assasinated?,"November 22, 1963",11/22/63,When was John F. Kennedy assasinated ?,"November 22 , 1963",11/22/63
acdeff3068372e962ae2600b4883e5cd62c04150,train,What is Andy Dufresne convicted of?,Murder.,Murder,What is Andy Dufresne convicted of ?,Murder .,Murder
d6c728cc9fabd2ef68dabc990731470f455e8fac,train,Who does Bloom suspect the real killer is?,Dusty Wright.,Dusty Wright,Who does Bloom suspect the real killer is ?,Dusty Wright .,Dusty Wright
b59cb0fec8ab3d00eac6fda0452ae326cb2993aa,train,Who is suggested to have framed Silas for stealing the congregation's money?,William Dane,William Dane,Who is suggested to have framed Silas for stealing the congregation s money ?,William Dane,William Dane
7162d653cc3ccecd569009c27b38dac1da6499ee,train,What is the name of the Church?,St. John's Church,St. John's Church,What is the name of the Church ?,St. John s Church,St. John s Church
9ebb84bdc9cc6d698ccc331437bd1ec3b5f0dddb,train,Where does the CD finally end up?,At the Russian Embassy.,Russian embassy,Where does the CD finally end up ?,At the Russian Embassy .,Russian embassy
ea6d777ae79760c3e6d087a038f0ecf11c34d586,train,What is Rebecca's relationship to Rosmer?,"The two are in love, though Rosmer insists it is a platonic relationship.",She was a friend of Rosmer's wife,What is Rebecca s relationship to Rosmer ?,"The two are in love , though Rosmer insists it is a platonic relationship .",She was a friend of Rosmer s wife
4c428ffec939a3607a4da2e68ca684c03f6e8959,train,What was Katharine's position with Lady Mary?,Lady in Waiting,Lady in Waiting.,What was Katharine s position with Lady Mary ?,Lady in Waiting,Lady in Waiting .
9d8fa53fde63b8e1a0a7e04b88accb1d4ee31b71,train,What words are heard as the story fades?,a rhyme about how women and gold stop a man from growing old in one place.,A Burl Ives song.,What words are heard as the story fades ?,a rhyme about how women and gold stop a man from growing old in one place .,A Burl Ives song .
